Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WS,AllStar,AllNBA
250,Justin James\jamesju01,SF,24,SAC,36,0,310,6,12.9,0.468,1.6,4.4,0.368,4.4,8.5,0.521,2.4,4.2,0.583,1,2.4,3.5,2.6,0.9,0.3,1.7,2.7,16.1,0.1,0,0
251,LeBron James\jamesle01,PG,36,LAL,45,45,1504,10.1,19.7,0.513,2.5,6.8,0.365,7.6,12.9,0.591,4.3,6.1,0.698,0.7,7.6,8.3,8.4,1.1,0.6,4,1.7,27,5.6,1,1
252,Mike James\jamesmi02,PG,30,BRK,13,1,236,5.2,14,0.37,1.7,4.7,0.355,3.5,9.3,0.377,3.2,4.1,0.778,0.5,4.4,4.9,8.2,0.9,0.2,3.1,1.5,15.3,0.1,0,0
253,DaQuan Jeffries\jeffrda01,SG,23,TOT,31,5,493,3.7,8.8,0.417,1.5,4.9,0.299,2.2,3.9,0.566,0.5,0.6,0.875,1.4,3.8,5.2,1.6,1.1,0.7,1,3.5,9.3,0.3,0,0
253,DaQuan Jeffries\jeffrda01,SG,23,SAC,18,2,232,3.7,8.8,0.421,1.4,4.3,0.321,2.3,4.5,0.517,0.9,1.1,0.857,1.4,3.1,4.5,0.9,1.1,0.6,1.2,3.6,9.8,0,0,0
253,DaQuan Jeffries\jeffrda01,SG,23,HOU,13,3,261,3.6,8.7,0.413,1.5,5.4,0.282,2.1,3.3,0.625,0.1,0.1,1,1.4,4.4,5.8,2.2,1.1,0.8,0.8,3.4,8.8,0.2,0,0
254,Ty Jerome\jeromty01,SG,23,OKC,33,1,788,5.8,13.1,0.446,3.2,7.7,0.423,2.6,5.4,0.479,1.2,1.6,0.765,0.5,3.7,4.2,5.5,0.9,0.3,2.1,2.8,16.1,1.3,0,0
255,Isaiah Joe\joeis01,SG,21,PHI,41,1,383,4.5,12.5,0.361,3.7,10,0.368,0.8,2.5,0.333,1.7,2.3,0.75,0.6,2.8,3.4,1.9,1.1,0.4,1,3.2,14.4,0.6,0,0
256,Alize Johnson\johnsal02,PF,24,BRK,18,0,189,7.6,13,0.588,0.2,1.1,0.167,7.4,11.8,0.629,2.5,2.5,1,5.1,12,17.1,2.7,1,1,1.7,3,17.9,0.9,0,0
257,Cameron Johnson\johnsca02,PF,24,PHO,60,11,1437,5.1,12.1,0.42,2.9,8.4,0.349,2.2,3.7,0.581,1.3,1.5,0.847,0.8,4.2,5,2.2,0.9,0.4,1,2.1,14.4,2.6,0,0
258,James Johnson\johnsja01,PF,33,TOT,51,12,1043,5,11.3,0.446,1.1,4.1,0.258,4,7.1,0.556,1.6,2.6,0.592,1.1,5,6.1,3.4,1.4,1.4,1.9,4.1,12.7,1.2,0,0
258,James Johnson\johnsja01,PF,33,DAL,29,1,504,4.8,10.4,0.462,1.1,4.3,0.25,3.7,6.1,0.612,1.2,2.1,0.586,1,5.1,6.1,3.6,1.7,1.6,1.9,4.2,11.9,0.8,0,0
258,James Johnson\johnsja01,PF,33,NOP,22,11,539,5.3,12.2,0.434,1.1,4,0.267,4.2,8.1,0.516,1.9,3.1,0.596,1.2,4.9,6.1,3.2,1.2,1.3,1.9,4.1,13.5,0.4,0,0
259,Keldon Johnson\johnske04,SF,21,SAS,69,67,1968,6.2,12.9,0.479,1.1,3.3,0.331,5.1,9.6,0.531,2.7,3.6,0.74,1.7,5.8,7.5,2.2,0.7,0.4,1.4,2.6,16.1,3.3,0,0
260,Stanley Johnson\johnsst04,PF,24,TOR,61,13,1006,3.2,8.3,0.382,1.6,4.9,0.328,1.6,3.4,0.458,1.6,2,0.8,1,4.4,5.5,3.2,1.9,0.6,1.9,4.2,9.6,1,0,0
261,Tyler Johnson\johnsty01,SG,28,BRK,39,3,684,3.8,9.6,0.393,2.5,6.9,0.364,1.3,2.7,0.471,0.9,1.1,0.857,0.3,3.7,4.1,2.5,0.7,0,0.9,2.3,11.1,0.7,0,0
262,Nikola Jokić\jokicni01,C,25,DEN,72,72,2488,10.6,18.7,0.566,1.3,3.4,0.388,9.3,15.3,0.606,4.9,5.7,0.868,3,8.3,11.3,8.7,1.4,0.7,3.2,2.8,27.5,15.6,1,1
263,Damian Jones\jonesda03,C,25,TOT,39,10,547,4.6,6.8,0.68,0.1,0.3,0.2,4.5,6.4,0.704,2.8,3.8,0.724,2.4,5.6,8,1.9,0.7,1.9,1.7,5.1,12,1.6,0,0
263,Damian Jones\jonesda03,C,25,PHO,14,0,94,3.1,6.1,0.5,0,0.4,0,3.1,5.7,0.533,2.3,4.2,0.545,2.7,4.2,6.9,1.5,0.4,1.9,2.3,7.3,8.4,0.1,0,0
263,Damian Jones\jonesda03,C,25,LAL,8,6,112,5.1,5.5,0.941,0,0,,5.1,5.5,0.941,3.5,3.9,0.917,2.6,5.8,8.4,0.3,0.3,2.3,1.6,7.1,13.8,0.5,0,0
263,Damian Jones\jonesda03,C,25,SAC,17,4,341,4.9,7.4,0.657,0.1,0.4,0.25,4.8,7,0.682,2.6,3.7,0.714,2.2,5.9,8.1,2.5,1,1.8,1.6,3.8,12.5,0.9,0,0
264,Derrick Jones Jr.\jonesde02,SF,23,POR,58,43,1318,4,8.3,0.484,1.2,3.7,0.316,2.8,4.6,0.619,1.6,2.5,0.648,2.1,3.5,5.6,1.3,1,1.5,0.9,3.5,10.8,2.4,0,0
265,Mason Jones\jonesma05,SG,22,TOT,32,1,334,5.6,13.3,0.423,2.6,7.1,0.364,3,6.1,0.491,4.3,6.9,0.625,0.8,5.2,5.9,4.5,0.8,0.1,3.1,2.6,18.1,0.2,0,0
265,Mason Jones\jonesma05,SG,22,HOU,26,1,307,5.5,13.4,0.412,2.7,7.5,0.359,2.8,5.9,0.48,4.1,6.7,0.614,0.5,5.5,6,4.6,0.7,0.1,3.3,2.6,17.8,0,0,0
265,Mason Jones\jonesma05,SG,22,PHI,6,0,27,6.7,12,0.556,1.3,2.7,0.5,5.3,9.3,0.571,6.7,9.3,0.714,4,1.3,5.3,4,1.3,0,1.3,2.7,21.3,0.2,0,0
266,Tre Jones\jonestr01,PG,21,SAS,37,1,269,5,10.4,0.474,0.4,0.7,0.6,4.6,9.8,0.466,2.3,2.5,0.895,1.1,1.7,2.8,5.2,1.1,0,1.7,1.7,12.6,0.4,0,0
267,Tyus Jones\jonesty01,PG,24,MEM,70,9,1222,5.2,12.2,0.431,1.3,4.1,0.321,3.9,8,0.487,1.2,1.3,0.911,0.6,3.5,4.1,7.6,1.9,0.2,1.4,0.9,13,2.8,0,0
268,DeAndre Jordan\jordade01,C,32,BRK,57,43,1246,5.5,7.2,0.763,0,0,0,5.5,7.2,0.766,1.3,2.7,0.5,3.4,9,12.3,2.7,0.5,1.9,2.5,3.4,12.3,3.9,0,0
269,Cory Joseph\josepco01,PG,29,TOT,63,13,1446,5,10.6,0.469,1.1,3.3,0.341,3.9,7.3,0.527,1.8,2.2,0.818,0.9,3.1,4,5.3,1.5,0.4,2,3.5,12.9,2.1,0,0
269,Cory Joseph\josepco01,PG,29,SAC,44,2,944,4.2,9.5,0.444,1.2,3.6,0.33,3.1,5.9,0.513,1.4,1.8,0.766,1,2.8,3.8,4.1,1.5,0.3,1.7,3.7,11,0.7,0,0
269,Cory Joseph\josepco01,PG,29,DET,19,11,502,6.4,12.6,0.506,1,2.7,0.368,5.4,9.9,0.543,2.6,2.9,0.878,0.7,3.6,4.3,7.5,1.6,0.6,2.5,2.9,16.4,1.4,0,0
270,Mfiondu Kabengele\kabenmf01,PF,23,TOT,39,0,280,4.2,11.4,0.371,1.7,6.4,0.26,2.6,5,0.513,2.1,2.6,0.8,1.5,6.2,7.7,2.2,1,1.7,1.9,4.6,12.2,0.2,0,0
270,Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,0,94,3.4,12.3,0.281,1.5,6.9,0.222,1.9,5.4,0.357,1.9,2.3,0.833,0.4,5,5.4,1.9,0.8,1.1,2.3,6.9,10.3,-0.1,0,0
270,Mfiondu Kabengele\kabenmf01,PF,23,CLE,16,0,186,4.6,11,0.421,1.7,6.2,0.281,2.9,4.8,0.6,2.1,2.7,0.786,2.1,6.8,8.9,2.3,1.2,1.9,1.7,3.5,13.2,0.3,0,0
271,Frank Kaminsky\kaminfr01,C,27,PHO,47,13,715,6.1,12.9,0.471,1.6,4.3,0.365,4.5,8.7,0.523,1.9,3,0.617,1.8,7.7,9.5,4,0.7,0.9,1.1,3.5,15.6,2,0,0
272,Enes Kanter\kanteen01,C,28,POR,72,35,1758,6.9,11.5,0.604,0,0.1,0.25,6.9,11.4,0.607,2.6,3.4,0.774,5.8,10.5,16.3,1.7,0.7,1,1.6,3.4,16.5,7.5,0,0
273,Luke Kennard\kennalu01,SG,24,LAC,63,17,1232,5.8,12.1,0.476,2.9,6.5,0.446,2.8,5.6,0.511,0.8,0.9,0.839,0.4,4.3,4.7,3,0.7,0.3,1.4,2.7,15.2,2.7,0,0
274,Louis King\kinglo02,SF,21,SAC,6,1,85,7.2,14.4,0.5,1.7,4.7,0.364,5.5,9.7,0.565,2.5,2.5,1,2.1,5.5,7.6,3.8,3,1.3,1.7,3.8,18.6,0.3,0,0
275,Maxi Kleber\klebima01,PF,29,DAL,50,40,1341,3.1,7.4,0.422,2.3,5.7,0.41,0.8,1.7,0.46,0.9,1,0.919,1.3,5.7,7,1.8,0.6,0.9,0.8,2.8,9.5,2.9,0,0
276,Nathan Knight\knighna01,PF,23,ATL,33,0,279,4.8,12.9,0.37,0.8,4.3,0.182,4,8.6,0.463,5.7,7.1,0.8,3.5,5.8,9.3,1,1.2,1.3,1.9,2.8,16,0.4,0,0
277,Kevin Knox\knoxke01,SF,21,NYK,42,0,464,4.3,11.1,0.392,2.7,6.9,0.393,1.6,4.2,0.389,1.2,1.6,0.8,0.8,4,4.7,1.5,0.9,0.5,1.3,2.9,12.6,0.6,0,0
278,John Konchar\konchjo01,SG,24,MEM,43,0,575,4.3,8.6,0.5,1.3,3.5,0.375,3,5.1,0.585,1.6,1.9,0.833,2.2,5.8,8,2.9,1.9,0.6,1.1,2.5,11.5,1.7,0,0
279,Furkan Korkmaz\korkmfu01,SG,23,PHI,55,11,1062,5.8,14.4,0.401,3.4,9.1,0.375,2.3,5.3,0.445,2,2.8,0.732,0.6,3.3,3.8,2.8,1.7,0.3,1.6,2.2,17,2,0,0
280,Luke Kornet\kornelu01,C-PF,25,TOT,31,2,348,4.6,10.4,0.436,1.6,6.1,0.254,3,4.3,0.69,0.3,0.6,0.5,1.4,5.5,6.9,2.5,0.4,3.3,0.7,2.1,11,0.7,0,0
280,Luke Kornet\kornelu01,PF,25,CHI,13,0,94,3.4,10.3,0.333,2.3,8.8,0.261,1.1,1.5,0.75,0.8,1.5,0.5,0.4,5.4,5.7,1.5,0.8,2.7,0.4,0.4,10,0.1,0,0
280,Luke Kornet\kornelu01,C,25,BOS,18,2,254,5,10.5,0.473,1.3,5.1,0.25,3.7,5.4,0.684,0.1,0.3,0.5,1.8,5.5,7.4,2.8,0.3,3.5,0.9,2.7,11.3,0.6,0,0
281,Rodions Kurucs\kurucro01,SF-PF,22,TOT,21,0,125,3.2,9.2,0.344,1.7,6,0.286,1.4,3.2,0.455,0.9,1.2,0.75,1.4,5.2,6.6,2.9,2.6,1.2,3.7,4.6,8.9,-0.1,0,0
281,Rodions Kurucs\kurucro01,PF,22,BRK,5,0,16,2.3,6.8,0.333,2.3,4.5,0.5,0,2.3,0,0,0,,0,6.8,6.8,4.5,0,0,0,2.3,6.8,0,0,0
