Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WS,AllStar,AllNBA
297,Damian Lillard\lillada01,PG,30,POR,67,67,2398,9,20,0.451,4.1,10.6,0.391,4.9,9.5,0.519,6.7,7.3,0.928,0.5,3.8,4.2,7.6,0.9,0.3,3,1.5,28.9,10.4,1,1
298,Nassir Little\littlna01,PF,20,POR,48,2,640,4.4,9.4,0.467,1.6,4.5,0.35,2.8,4.9,0.575,2,2.5,0.8,1.8,5.4,7.2,1.3,0.3,0.7,1,2.9,12.4,1.1,0,0
299,Kevon Looney\looneke01,C,24,GSW,61,34,1161,3.3,6.1,0.548,0.1,0.5,0.235,3.2,5.6,0.578,1,1.5,0.646,3.6,6.4,10,3.7,0.7,0.7,1.1,4.2,7.8,3.4,0,0
300,Brook Lopez\lopezbr01,C,32,MIL,70,70,1902,6.1,12.1,0.503,1.8,5.3,0.338,4.3,6.8,0.632,2.3,2.7,0.845,2,4.6,6.6,0.9,0.8,1.9,1.2,2.8,16.3,5.3,0,0
301,Robin Lopez\lopezro01,C,32,WAS,71,9,1354,7.2,11.3,0.633,0.1,0.5,0.278,7,10.8,0.649,2.6,3.6,0.723,3.7,3.5,7.2,1.5,0.4,1.2,2,2.9,17.1,3.7,0,0
302,Didi Louzada\louzama01,SF,21,NOP,3,0,56,1.9,8.4,0.231,1.3,5.1,0.25,0.6,3.2,0.2,0,0,,0.6,1.3,1.9,1.9,1.3,0,1.9,3.2,5.1,-0.1,0,0
303,Kevin Love\loveke01,PF,32,CLE,25,25,622,6,14.6,0.409,3.3,9,0.365,2.7,5.6,0.479,2.4,3,0.824,1,9.8,10.8,3.6,0.9,0.1,2.2,1.5,17.7,0.9,0,0
304,Kyle Lowry\lowryky01,PG,34,TOR,46,46,1601,5.8,13.4,0.436,2.9,7.4,0.396,2.9,6,0.487,3.1,3.6,0.875,0.8,4.8,5.6,7.6,1,0.3,2.8,3.2,17.8,4.1,0,0
305,Timothé Luwawu-Cabarrot\luwawti01,SF,25,BRK,58,7,1050,4.5,12.2,0.365,2.6,8.2,0.314,1.9,4,0.47,1.2,1.5,0.814,1,3.5,4.4,2.4,1.1,0.2,1.5,3.4,12.7,0.3,0,0
306,Trey Lyles\lylestr01,PF,25,SAS,23,9,358,4.3,9.1,0.478,1.4,4,0.35,2.9,5,0.58,1.5,2.3,0.652,0.9,7.7,8.6,1.4,0.6,0.1,0.6,1.3,11.6,0.6,0,0
307,Will Magnay\magnawi01,C,22,NOP,1,0,3,0,12,0,0,12,0,0,0,,0,0,,0,0,0,0,0,0,12,12,0,0,0,0
308,Thon Maker\makerth01,C,23,CLE,8,0,76,4.7,8.5,0.556,0,0.9,0,4.7,7.6,0.625,4.7,5.2,0.909,3.8,4.7,8.5,1.9,0.9,1.9,1.4,3.3,14.2,0.3,0,0
309,Théo Maledon\maledth01,PG,19,OKC,65,49,1778,4.6,12.4,0.368,2.1,6.3,0.335,2.4,6.1,0.402,2,2.7,0.748,0.5,3.8,4.3,4.6,1.1,0.2,2.9,2.6,13.3,-0.8,0,0
310,Karim Mané\maneka01,PG,20,ORL,10,0,88,1.2,5.3,0.231,0.4,0.8,0.5,0.8,4.5,0.182,1.6,2,0.8,0.4,5.3,5.7,1.6,0,0.8,1.2,4.1,4.5,-0.1,0,0
311,Terance Mann\mannte01,SG,24,LAC,67,10,1263,5.1,10,0.509,1.1,2.6,0.418,4,7.4,0.541,2.2,2.7,0.83,1.6,5.3,6.9,3,0.8,0.4,1.1,3.6,13.5,3.7,0,0
312,Nico Mannion\mannini01,PG,19,GSW,30,1,364,3.9,11.3,0.342,2.2,5.9,0.367,1.7,5.3,0.315,2.3,2.8,0.821,0.6,4,4.5,6.9,1.6,0.1,3.1,2.9,12.2,0.2,0,0
313,Boban Marjanović\marjabo01,C,32,DAL,33,3,271,8.2,16.2,0.508,0.1,1.1,0.125,8.1,15.1,0.535,4.1,5,0.816,6.2,10.8,17,1.3,0.3,0.8,1.6,3.9,20.7,1,0,0
314,Lauri Markkanen\markkla01,PF,23,CHI,51,26,1317,6.8,14.2,0.48,3.3,8.1,0.402,3.6,6.2,0.582,2.1,2.5,0.826,1,6.4,7.3,1.2,0.7,0.4,1.4,2.1,19,3,0,0
315,Naji Marshall\marshna01,SF,23,NOP,32,10,700,4.2,10.7,0.392,1.5,4.3,0.349,2.7,6.5,0.421,2.7,3.9,0.707,0.8,6.8,7.6,4.5,1.3,0.5,2,3,12.7,0.9,0,0
316,Caleb Martin\martica02,SF,25,CHO,53,3,818,4.2,11.3,0.375,1.4,5.5,0.248,2.9,5.8,0.496,1.8,2.8,0.641,1.4,4.8,6.2,2.9,1.6,0.5,1.5,2.7,11.6,0.5,0,0
317,Cody Martin\martico01,SF,25,CHO,52,10,849,3.5,8,0.441,0.7,2.5,0.276,2.8,5.5,0.515,1.1,1.8,0.581,2.2,4.6,6.8,3.6,1.6,0.5,1.7,2.2,8.8,1.1,0,0
318,Jeremiah Martin\martije02,PG,24,CLE,9,0,75,4.3,15.8,0.273,1.4,5.8,0.25,2.9,10.1,0.286,0.5,2.4,0.2,1,2.4,3.4,1.9,2.4,1,2.9,0.5,10.6,-0.3,0,0
319,Kelan Martin\martike03,SF,25,IND,35,0,322,6.9,15.4,0.449,2.7,6.7,0.4,4.2,8.7,0.487,1,1.1,0.9,2,6.7,8.7,1.9,1.1,1.1,1.8,3.9,17.6,0.4,0,0
320,Kenyon Martin Jr.\martike04,SF,20,HOU,45,8,1068,5.5,10.7,0.509,1.2,3.2,0.365,4.3,7.5,0.572,2,2.8,0.714,2.5,5.7,8.2,1.6,1,1.4,1.3,3,14.1,2.2,0,0
321,Frank Mason III\masonfr01,PG,26,ORL,4,1,79,4.1,10.9,0.375,0.9,2.3,0.4,3.2,8.7,0.368,2.3,3.2,0.714,1.4,4.1,5.5,5.5,0,0,2.3,3.2,11.4,0,0,0
322,Garrison Mathews\mathega01,SG,24,WAS,64,24,1038,3.4,8.2,0.409,2.6,6.9,0.384,0.7,1.4,0.538,2.9,3.3,0.884,0.6,2.5,3,0.9,1,0.2,0.3,3.7,12.3,2.3,0,0
323,Dakota Mathias\mathida01,SG,25,PHI,8,2,123,5.6,14,0.396,2.3,7.6,0.308,3.2,6.4,0.5,0.6,1.8,0.333,0.3,1.8,2,3.8,0.3,0.9,0.3,2,14,0.2,0,0
324,Wesley Matthews\matthwe02,SG,34,LAL,58,10,1130,2.8,8,0.353,2.1,6.3,0.335,0.7,1.8,0.418,1.1,1.3,0.854,0.6,2.3,3,1.7,1.2,0.5,0.8,2.5,8.9,1.7,0,0
325,Tyrese Maxey\maxeyty01,SG,20,PHI,61,8,935,7.6,16.5,0.462,1.2,4,0.301,6.4,12.6,0.512,2.3,2.7,0.871,0.4,3.6,4,4.6,1,0.5,1.6,3,18.8,1.9,0,0
326,Skylar Mays\mayssk01,SG,23,ATL,33,0,269,5.9,13.1,0.449,1.9,5.4,0.35,4,7.8,0.517,2.9,3.3,0.88,1.3,3.3,4.7,4,1.9,0.3,1.2,2,16.6,0.8,0,0
327,Patrick McCaw\mccawpa01,SF,25,TOR,5,0,33,1.1,1.1,1,0,0,,1.1,1.1,1,3.3,3.3,1,1.1,2.2,3.3,4.4,2.2,0,0,6.5,5.5,0.1,0,0
328,CJ McCollum\mccolcj01,SG,29,POR,47,47,1600,9.1,19.9,0.458,3.8,9.5,0.402,5.3,10.4,0.509,2.4,3,0.812,0.7,3.5,4.2,5,1,0.5,1.5,2,24.5,4.7,0,0
329,T.J. McConnell\mccontj01,PG,28,IND,69,3,1796,5.5,9.8,0.559,0.3,1,0.313,5.2,8.9,0.586,0.7,1,0.688,1.1,4,5.1,9.1,2.6,0.5,2.7,2.3,11.9,4.8,0,0
330,Jaden McDaniels\mcdanja02,PF,20,MIN,63,27,1511,3.9,8.7,0.447,1.7,4.7,0.364,2.2,4,0.544,0.6,1.1,0.6,1.2,4.3,5.5,1.7,0.8,1.4,1.1,4.1,10.2,1.4,0,0
331,Jalen McDaniels\mcdanja01,SF,23,CHO,47,18,904,5.3,11.3,0.468,1.4,4.2,0.333,3.9,7.1,0.547,1.8,2.5,0.703,1.8,4.9,6.7,2.1,1.1,0.8,1.8,3.8,13.8,1.2,0,0
332,Doug McDermott\mcderdo01,PF,29,IND,66,29,1619,7.9,14.8,0.532,2.5,6.4,0.388,5.4,8.4,0.641,1.8,2.2,0.816,1.3,3.6,4.9,1.9,0.4,0.1,1.2,2.6,20,3.8,0,0
333,Sean McDermott\mcderse01,SF,24,MEM,18,0,158,3,7.5,0.394,1.1,5,0.227,1.8,2.5,0.727,1.8,1.8,1,1.4,3,4.3,0.9,0.5,0.7,0.9,1.8,8.9,0.2,0,0
334,JaVale McGee\mcgeeja01,C,33,TOT,46,2,678,7.6,15,0.511,0.3,1.3,0.208,7.4,13.7,0.539,2.3,3.6,0.657,4.1,8.6,12.7,2.1,1,2.9,3.2,6.4,17.9,1,0,0
334,JaVale McGee\mcgeeja01,C,33,CLE,33,1,503,8,15.4,0.521,0.4,1.4,0.25,7.7,14,0.549,2.6,3.9,0.655,3.9,8.3,12.2,2.4,1.1,2.9,3.2,5.7,19,0.8,0,0
334,JaVale McGee\mcgeeja01,C,33,DEN,13,1,175,6.6,13.8,0.478,0,0.8,0,6.6,13,0.508,1.6,2.5,0.667,4.7,9.5,14.2,1.2,0.6,2.9,3.1,8.4,14.8,0.2,0,0
335,Rodney McGruder\mcgruro01,SG,29,DET,16,2,194,6.9,13,0.529,2,4.5,0.458,4.8,8.5,0.565,1.1,1.5,0.75,1.5,2.6,4.1,3,1.5,0.2,1.3,2.2,16.9,0.5,0,0
336,Alfonzo McKinnie\mckinal01,SF,28,LAL,39,0,258,6.7,13,0.516,2.2,5.4,0.41,4.5,7.5,0.593,1.4,2.5,0.556,3.1,4.5,7.5,0.8,1,0,0.7,3.6,17,0.8,0,0
337,Jordan McLaughlin\mclaujo01,PG,24,MIN,51,2,938,3.8,9.3,0.413,1.3,3.5,0.359,2.6,5.8,0.447,0.9,1.2,0.767,0.8,3.3,4.1,7.4,2,0.2,2,1.7,9.8,1.2,0,0
338,Ben McLemore\mclembe01,SG,27,TOT,53,5,905,5.4,14.5,0.37,3.9,11.1,0.346,1.5,3.4,0.447,1.6,2.1,0.736,0.6,3.4,4,1.6,0.9,0.4,1.7,3.5,16.2,0.2,0,0
338,Ben McLemore\mclembe01,SG,27,HOU,32,4,537,5.4,15,0.357,3.7,11.1,0.331,1.7,3.9,0.431,1.5,2.1,0.719,0.7,3.7,4.4,1.9,1.3,0.2,1.9,3.4,16,-0.2,0,0
338,Ben McLemore\mclembe01,SG,27,LAL,21,1,368,5.4,13.8,0.39,4.1,11.2,0.368,1.3,2.6,0.481,1.6,2.1,0.762,0.4,2.9,3.3,1.1,0.3,0.6,1.4,3.6,16.4,0.5,0,0
339,Nicolò Melli\mellini01,PF,30,TOT,45,4,566,2.9,9,0.326,1.5,5.4,0.271,1.5,3.6,0.411,1.2,1.6,0.76,1.8,5.9,7.8,2.8,0.9,0.2,0.8,3.7,8.5,0.6,0,0
339,Nicolò Melli\mellini01,PF,30,NOP,22,0,241,2.2,8.8,0.254,1,5.5,0.189,1.2,3.3,0.364,0.9,1,0.857,1.8,6.7,8.5,3.7,1.3,0.1,1,4.2,6.4,0,0,0
339,Nicolò Melli\mellini01,PF,30,DAL,23,4,325,3.4,9.1,0.378,1.8,5.3,0.333,1.7,3.8,0.441,1.4,2,0.722,1.9,5.3,7.2,2.1,0.6,0.2,0.6,3.3,10.1,0.5,0,0
340,De'Anthony Melton\meltode01,PG,22,MEM,52,1,1045,5.9,13.5,0.438,3,7.3,0.412,2.9,6.3,0.467,1.4,1.8,0.804,1,4.5,5.5,4.5,2.1,1.1,2.3,2.9,16.3,2.2,0,0
341,Sam Merrill\merrisa01,SG,24,MIL,30,2,233,4.9,11.1,0.444,3.2,7.3,0.447,1.7,3.9,0.44,0.6,0.6,1,0.9,3.7,4.6,3.2,1.2,0.2,1.5,2.6,13.8,0.5,0,0
342,Chimezie Metu\metuch01,C,23,SAC,36,6,488,6.7,13.2,0.508,1,2.7,0.351,5.8,10.5,0.549,2.3,3.2,0.721,2.3,6,8.3,2.1,1,1.3,2.1,4.4,16.7,0.6,0,0
343,Khris Middleton\middlkh01,SF,29,MIL,68,68,2269,8.1,17,0.476,2.4,5.8,0.414,5.7,11.2,0.508,3.4,3.7,0.898,0.9,5.6,6.4,5.9,1.2,0.1,2.8,2.5,22,6.4,0,0
344,Darius Miller\milleda01,SF,30,OKC,18,0,197,4,8.8,0.458,3.1,7.7,0.405,0.9,1.1,0.833,2.2,2.2,1,0.4,4,4.4,3.8,2.4,0.9,1.5,2.4,13.3,0.6,0,0
345,Patty Mills\millspa02,PG,32,SAS,68,1,1685,5.4,13.1,0.412,3.4,9.2,0.375,1.9,3.9,0.5,1.5,1.7,0.91,0.4,2.1,2.5,3.5,0.9,0.1,1.4,1.7,15.7,2.2,0,0
346,Paul Millsap\millspa01,PF,35,DEN,56,36,1162,5.9,12.4,0.476,1.5,4.4,0.343,4.4,8,0.55,2.2,3,0.724,2.4,5.8,8.1,3,1.6,1.1,1.6,3.4,15.6,3.2,0,0
347,Shake Milton\miltosh01,SG,24,PHI,63,4,1461,7.4,16.4,0.45,1.7,5,0.35,5.6,11.4,0.494,3.6,4.3,0.83,0.8,2.8,3.6,4.8,1,0.4,2.5,3.2,20.1,2.8,0,0
348,Donovan Mitchell\mitchdo01,PG,24,UTA,53,53,1771,9.7,22.2,0.438,3.6,9.4,0.386,6.1,12.8,0.476,5.4,6.4,0.845,1,3.8,4.8,5.6,1.1,0.3,3,2.4,28.5,6.2,1,0
349,Adam Mokoka\mokokad01,SG,22,CHI,14,0,56,4.5,12.2,0.368,0.6,6.4,0.1,3.9,5.8,0.667,0,0.6,0,0.6,2.6,3.2,3.2,1.3,0.6,3.2,3.2,9.6,-0.1,0,0
350,Malik Monk\monkma01,SG,22,CHO,42,0,878,7.1,16.4,0.434,3.5,8.7,0.401,3.6,7.7,0.471,2.4,3,0.819,0.6,3.6,4.1,3.6,0.8,0.2,2.3,1.9,20.1,1,0,0
351,E'Twaun Moore\mooreet01,SG,31,PHO,27,1,389,5.1,11.2,0.455,1,3.2,0.314,4.1,8,0.512,1.1,1.3,0.857,1.3,2.9,4.2,3.7,1.4,0.5,2.1,3,12.3,0.4,0,0
352,Ja Morant\moranja01,PG,21,MEM,63,63,2053,7.5,16.8,0.449,1.3,4.2,0.303,6.3,12.6,0.499,4.8,6.5,0.728,1,3.4,4.4,8.2,1,0.2,3.6,1.5,21.1,3.2,0,0
353,Juwan Morgan\morgaju01,PF,23,UTA,29,0,147,3.4,7.3,0.467,1,3.2,0.308,2.4,4.2,0.588,0.7,1.7,0.429,2.2,4.7,6.9,2.2,1,0.2,1,5.1,8.6,0.3,0,0
354,Marcus Morris\morrima03,PF,31,LAC,57,29,1502,6.6,14,0.473,3.4,7.1,0.473,3.3,6.9,0.472,1.7,2.1,0.82,0.8,4.8,5.6,1.4,0.8,0.4,1.4,2.8,18.3,3.6,0,0
355,Markieff Morris\morrima02,PF,31,LAL,61,27,1200,4.6,11.3,0.405,1.9,6.3,0.311,2.6,5.1,0.521,1.1,1.5,0.72,1.4,6.5,8,2.2,0.7,0.6,1.6,3.2,12.2,1.6,0,0
356,Monte Morris\morrimo01,PG,25,DEN,47,13,1196,5.6,11.6,0.481,1.5,4,0.381,4.1,7.6,0.534,1.7,2.2,0.795,0.3,2.6,2.9,4.5,1,0.4,1,1.4,14.5,2.9,0,0
357,Mychal Mulder\muldemy01,PG,26,GSW,60,6,766,5.6,12.5,0.449,4,10.1,0.397,1.6,2.4,0.667,0.7,1,0.636,0.4,2.4,2.8,1.2,0.6,0.6,0.8,2.6,15.8,1.2,0,0
358,Dejounte Murray\murrade01,PG,24,SAS,67,67,2139,7.4,16.4,0.453,1.1,3.3,0.317,6.4,13,0.488,1.8,2.3,0.791,1,7,8,6.1,1.7,0.1,2,2.3,17.7,3.3,0,0
359,Jamal Murray\murraja01,PG,23,DEN,48,48,1704,8,16.7,0.477,2.7,6.7,0.408,5.3,10.1,0.523,2.8,3.2,0.869,0.8,3.3,4.1,4.9,1.4,0.3,2.3,2,21.5,4.6,0,0
360,Mike Muscala\muscami01,C,29,OKC,35,0,645,6.6,14.9,0.446,3.8,10.3,0.37,2.8,4.6,0.614,1.8,2,0.917,1.1,6.3,7.4,1.6,0.4,0.6,1.2,3,18.9,1.3,0,0
361,Sviatoslav Mykhailiuk\mykhasv01,SF-SG,23,TOT,66,14,1324,5.7,13.8,0.411,2.9,8.5,0.334,2.8,5.2,0.536,1,1.4,0.76,0.7,3.8,4.4,3,1.4,0.3,2.4,1.7,15.2,0.3,0,0
361,Sviatoslav Mykhailiuk\mykhasv01,SF,23,DET,36,5,634,4.8,12.7,0.377,3.2,9.7,0.333,1.5,3,0.519,1.4,1.7,0.8,0.6,3.6,4.2,3.2,1.5,0.3,2.2,1.9,14.1,0.3,0,0
361,Sviatoslav Mykhailiuk\mykhasv01,SG,23,OKC,30,9,690,6.5,14.8,0.438,2.5,7.5,0.336,4,7.3,0.543,0.7,1,0.7,0.7,4,4.6,2.8,1.3,0.3,2.6,1.6,16.2,-0.1,0,0
362,Abdel Nader\naderab01,SF,27,PHO,24,0,355,5.8,11.8,0.491,1.8,4.4,0.419,4,7.4,0.534,2.8,3.8,0.757,0.7,5.6,6.3,1.9,1,0.9,1.9,3.4,16.2,0.7,0,0
363,Larry Nance Jr.\nancela02,PF,28,CLE,35,27,1091,4.2,9,0.471,1.4,3.8,0.36,2.9,5.2,0.551,1,1.6,0.612,1.8,6,7.8,3.5,2,0.6,1.8,2.4,10.8,1.8,0,0
364,Aaron Nesmith\nesmiaa01,SF,21,BOS,46,1,669,4.2,9.6,0.438,2.2,5.8,0.37,2,3.8,0.543,1.2,1.5,0.786,1.5,5.3,6.8,1.2,0.8,0.5,1.2,4.7,11.7,1.1,0,0
365,Raul Neto\netora01,PG,28,WAS,64,22,1403,5.4,11.5,0.468,1.6,4.2,0.39,3.7,7.3,0.512,1.9,2.2,0.882,0.7,3.3,4,3.7,1.9,0.2,1.4,2.8,14.3,2.8,0,0
366,Georges Niang\niangge01,PF,27,UTA,72,10,1154,5.5,12.6,0.437,3.9,9.1,0.425,1.7,3.5,0.469,0.7,0.7,0.957,0.9,4.6,5.5,1.8,0.8,0.2,1.6,3.6,15.6,2.6,0,0
367,Zeke Nnaji\nnajize01,PF,20,DEN,42,1,397,4.5,9.4,0.481,2.2,5.4,0.407,2.4,4.1,0.578,1.1,1.4,0.8,1.3,4.6,5.9,0.9,0.7,0.4,0.6,2.6,12.3,0.9,0,0
368,Nerlens Noel\noelne01,C,26,NYK,64,41,1547,3.2,5.2,0.614,0,0.1,0,3.2,5.1,0.623,1.2,1.6,0.714,3.3,6.2,9.5,1.1,1.6,3.3,1.5,4.1,7.5,5.2,0,0
369,Jaylen Nowell\nowelja01,SG,21,MIN,42,0,759,6.7,15.9,0.424,2.4,7.1,0.333,4.4,8.8,0.497,2.1,2.6,0.818,0.9,3.6,4.5,2.9,1,0.6,1.3,3.4,18,0.7,0,0
370,Frank Ntilikina\ntilila01,PG,22,NYK,33,4,322,3.2,8.8,0.367,2.6,5.4,0.479,0.7,3.5,0.194,0.9,2,0.444,0.7,2.8,3.5,2.1,2,0.4,1.2,5,10,0.5,0,0
371,Kendrick Nunn\nunnke01,PG,25,MIA,56,44,1650,7,14.4,0.485,2.7,7,0.381,4.3,7.4,0.583,1.2,1.3,0.933,0.5,3.4,3.9,3.2,1.1,0.3,1.7,2.4,17.8,2.9,0,0
372,James Nunnally\nunnaja01,SF,30,NOP,9,0,48,3.7,9.7,0.385,3,9,0.333,0.7,0.7,1,0.7,1.5,0.5,1.5,5.2,6.8,2.3,0,0,1.5,0.7,11.3,0,0,0
373,Jusuf Nurkić\nurkiju01,C,26,POR,37,37,880,7,13.6,0.514,0.5,1.2,0.4,6.5,12.4,0.525,2.9,4.6,0.619,3.5,10.1,13.6,5.1,1.6,1.6,3,4.2,17.3,2.4,0,0
374,David Nwaba\nwabada01,SF,28,HOU,30,9,679,5.6,11.6,0.486,0.9,3.3,0.27,4.7,8.2,0.574,2.5,3.6,0.691,2.1,4.1,6.3,1.6,1.6,1.1,0.9,3.2,14.6,1.3,0,0
375,Jordan Nwora\nworajo01,SF,22,MIL,30,2,274,8.1,17.7,0.459,3.7,8.1,0.452,4.5,9.6,0.466,2.5,3.3,0.76,1.2,6.7,7.9,0.9,2.1,0.9,3.2,2.9,22.5,0.4,0,0
376,Royce O'Neale\onealro01,SF,27,UTA,71,71,2241,2.8,6.3,0.444,1.7,4.5,0.385,1.1,1.9,0.586,0.6,0.7,0.848,1.4,6.4,7.8,2.9,0.9,0.5,1.3,2.9,8,5.6,0,0
377,Semi Ojeleye\ojelese01,PF,26,BOS,56,15,950,3.4,8.4,0.403,2.2,6,0.367,1.2,2.4,0.492,0.9,1.2,0.75,1.2,4.4,5.6,1.4,0.6,0,0.8,2.1,9.9,1.2,0,0
378,Jahlil Okafor\okafoja01,C,25,DET,27,2,347,6.5,10.6,0.618,0.2,0.9,0.222,6.3,9.6,0.656,1.8,2.5,0.708,2.4,4.5,6.8,1.3,0.6,0.5,2.2,4,15,0.6,0,0
379,Chuma Okeke\okekech01,PF,22,ORL,45,19,1133,4.3,10.3,0.417,1.6,4.5,0.348,2.7,5.8,0.47,1,1.3,0.75,1.3,4.4,5.8,3.2,1.5,0.7,1.2,1.5,11.1,1.3,0,0
380,Josh Okogie\okogijo01,SG,22,MIN,59,37,1197,3.1,7.6,0.402,0.9,3.2,0.269,2.2,4.4,0.5,2.5,3.2,0.769,1.9,2.8,4.7,1.9,1.6,0.8,1.3,3.7,9.5,1.3,0,0
381,Onyeka Okongwu\okongon01,C,20,ATL,50,4,601,5.8,8.9,0.644,0,0.2,0,5.8,8.7,0.658,2.2,3.4,0.632,3.7,6,9.8,1.1,1.4,2,1.7,6,13.7,1.9,0,0
382,Isaac Okoro\okorois01,SG,20,CLE,67,67,2173,3.9,9.3,0.42,1,3.5,0.29,2.9,5.7,0.501,1.9,2.6,0.726,1.1,2.3,3.4,2.1,1,0.4,1.4,3.1,10.7,0.9,0,0
383,KZ Okpala\okpalkz01,PF,21,MIA,37,9,447,2.9,7.7,0.375,1,4,0.24,1.9,3.7,0.522,0.6,1.2,0.533,1.7,3.8,5.5,1.5,0.8,0.9,1.2,4.8,7.4,0.1,0,0
384,Victor Oladipo\oladivi01,SG,28,TOT,33,33,1080,7.8,19.2,0.408,2.6,8,0.326,5.2,11.2,0.466,3.5,4.6,0.754,0.4,4.9,5.3,5,1.5,0.5,2.8,2.7,21.7,0.4,0,0
384,Victor Oladipo\oladivi01,SG,28,IND,9,9,300,7.7,18.2,0.421,3,8.3,0.362,4.7,10,0.47,3.2,4.4,0.73,0.1,6,6.1,4.6,1.8,0.2,2.2,2.8,21.6,0.4,0,0
384,Victor Oladipo\oladivi01,SG,28,HOU,20,20,669,8.3,20.5,0.407,2.6,8.2,0.32,5.7,12.3,0.465,3.5,4.5,0.783,0.4,4.7,5.1,5.3,1.3,0.5,2.7,2.4,22.8,0.1,0,0
384,Victor Oladipo\oladivi01,SG,28,MIA,4,4,111,5.2,13.9,0.372,1.3,5.5,0.235,3.9,8.4,0.462,3.9,5.8,0.667,1,3.6,4.5,4.5,2.3,0.6,4.5,4.2,15.6,-0.1,0,0
385,Cameron Oliver\oliveca01,SF,24,HOU,4,0,87,7.9,13.7,0.576,1.7,5.4,0.308,6.2,8.3,0.75,0.4,1.7,0.25,2.1,6.6,8.7,2.1,0.8,1.7,1.2,4.6,17.8,0.2,0,0
386,Kelly Olynyk\olynyke01,C-PF,29,TOT,70,62,1997,6.1,12.6,0.484,2.3,6.6,0.342,3.8,5.9,0.641,2.6,3.2,0.829,1.6,7.2,8.8,3.7,1.4,0.8,2.3,3.7,17,5.1,0,0
386,Kelly Olynyk\olynyke01,C,29,MIA,43,38,1157,5,11.7,0.431,2.4,7.6,0.317,2.6,4.1,0.639,1,1.2,0.775,1.4,6.8,8.1,2.8,1.2,0.8,1.7,3.8,13.4,1.9,0,0
386,Kelly Olynyk\olynyke01,PF,29,HOU,27,24,840,7.5,13.8,0.545,2.1,5.4,0.392,5.4,8.4,0.643,4.9,5.8,0.844,1.8,7.9,9.8,4.8,1.7,0.7,3,3.6,22,3.2,0,0
387,Miye Oni\onimi01,SG,23,UTA,54,0,519,2.4,6.9,0.354,2.1,6.1,0.341,0.3,0.8,0.455,0.3,0.4,0.833,1.6,4.2,5.8,1.9,0.8,0.6,1.1,4.2,7.3,0.9,0,0
388,Cedi Osman\osmande01,SF,25,CLE,59,26,1510,5.2,14,0.374,2.4,7.7,0.306,2.9,6.2,0.458,1.8,2.3,0.8,0.9,3.9,4.8,4.1,1.3,0.2,1.9,2.8,14.6,0.5,0,0
389,Daniel Oturu\oturuda01,C,21,LAC,30,0,161,4.9,11.6,0.423,0.2,1.1,0.2,4.7,10.5,0.447,2,2.7,0.75,4.7,6,10.7,2.2,0.9,1.6,2,5.4,12.1,0.3,0,0
390,Kelly Oubre Jr.\oubreke01,SF,25,GSW,55,50,1687,6.8,15.4,0.439,1.9,6.1,0.316,4.9,9.4,0.519,2.6,3.8,0.695,1.7,5.3,7,1.6,1.2,0.9,1.5,2.6,18.1,2.2,0,0
391,Jabari Parker\parkeja01,PF,25,TOT,13,0,165,6.5,12,0.545,0.4,2.4,0.182,6.1,9.6,0.636,2.2,2.8,0.769,2.2,7,9.2,2.4,0.2,1.1,2.2,2.8,15.7,0.3,0,0
391,Jabari Parker\parkeja01,PF,25,SAC,3,0,27,5.3,9.3,0.571,0,1.3,0,5.3,8,0.667,0,0,,1.3,6.7,8,1.3,0,1.3,4,5.3,10.7,0,0,0
391,Jabari Parker\parkeja01,PF,25,BOS,10,0,138,6.8,12.5,0.542,0.5,2.6,0.2,6.3,9.9,0.632,2.6,3.4,0.769,2.3,7,9.4,2.6,0.3,1,1.8,2.3,16.7,0.3,0,0
392,Eric Paschall\pascher01,PF,24,GSW,40,2,695,7.7,15.4,0.497,0.9,2.8,0.333,6.7,12.6,0.533,3.5,4.9,0.713,1.5,5.2,6.6,2.6,0.6,0.4,2.2,3.5,19.7,0.9,0,0
393,Anžejs Pasečņiks\pasecan01,C,25,WAS,1,0,6,0,6,0,0,6,0,0,0,,0,0,,6,0,6,6,0,0,30,12,0,-0.1,0,0
394,Patrick Patterson\pattepa01,PF,31,LAC,38,5,582,4.5,10.2,0.436,2.5,6.9,0.357,2,3.3,0.604,0.8,1.1,0.765,1.2,3.5,4.6,1.8,0.9,0.5,0.7,2.8,12.2,1.2,0,0
395,Justin Patton\pattoju01,C,23,HOU,13,6,247,4.2,10.2,0.414,1.3,5,0.265,2.9,5.2,0.556,0.4,0.6,0.75,2,5.1,7.1,2,1.7,2,0.6,5,10.2,0.4,0,0
396,Chris Paul\paulch01,PG,35,PHO,70,70,2199,7.2,14.4,0.499,1.7,4.2,0.395,5.5,10.2,0.543,2.8,3,0.934,0.4,4.7,5.1,10.2,1.6,0.3,2.6,2.7,18.8,9.2,1,1
397,Cameron Payne\payneca01,PG,26,PHO,60,1,1079,6.4,13.2,0.484,2.4,5.5,0.44,3.9,7.6,0.515,1.7,1.9,0.893,0.5,4.3,4.8,7.2,1.2,0.5,2,3.2,16.8,3.6,0,0
