Player, Salary 
Darius Garland\garlada01,7040880
Juan Hernangómez\hernaju01,7012440
Chris Boucher\bouchch01,7009615
D.J. Augustin\augusdj01,7000000
P.J. Tucker\tuckepj01,7000000
Zach Collins\colliza01,6984127
Wendell Carter Jr.\cartewe01,6920027
Isaac Okoro\okorois01,6720720
Jalen Suggs\suggsja01,6593040
Cameron Payne\payneca01,6500000
Joakim Noah\noahjo01,6431666
Jarrett Culver\culveja01,6395160
Khem Birch\birchkh01,6350000
Collin Sexton\sextoco01,6349671
Onyeka Okongwu\okongon01,6104280
Justin Holiday\holidju01,6006420
Josh Giddey\giddejo01,5988000
Avery Bradley\bradlav01,8558441
Rudy Gay\gayru01,5890000
Patty Mills\millspa02,5890000
Dennis Schröder\schrode01,5890000
Kevin Knox\knoxke01,5845978
Coby White\whiteco01,5837760
Timofey Mozgov\mozgoti01,5573334
Killian Hayes\hayeski01,5572680
Mikal Bridges\bridgmi01,5557725
Shai Gilgeous-Alexander\gilgesh01,5495532
Jonathan Kuminga\kuminjo01,5466360
Miles Bridges\bridgmi02,5421493
Jaxson Hayes\hayesja02,5348280
Pat Connaughton\connapa01,5333333
Michael Porter Jr.\portemi01,5258735
Ryan Anderson\anderry01,5214584
Hamidou Diallo\diallha01,5200000
Kevon Looney\looneke01,5178572
Troy Brown Jr.\browntr01,5170564
Obi Toppin\toppiob01,5105160
Franz Wagner\wagnefr01,5007840
Kris Dunn\dunnkr01,5005350
Josh Jackson\jacksjo02,5005350
JaVale McGee\mcgeeja01,5000000
Robin Lopez\lopezro01,5000000
Kendrick Nunn\nunnke01,5000000
Lou Williams\willilo02,5000000
Luol Deng\denglu01,4990000
Rui Hachimura\hachiru01,4916160
Garrett Temple\templga01,4910000
Cory Joseph\josepco01,4910000
Taj Gibson\gibsota01,4910000
Torrey Craig\craigto01,4878049
Rajon Rondo\rondora01,2641691
Bruce Brown\brownbr01,4736102
Deni Avdija\avdijde01,4692840
Donte DiVincenzo\divindo01,4675830
Cam Reddish\reddica01,4670160
David Nwaba\nwabada01,4650000
Furkan Korkmaz\korkmfu01,4629630
Davion Mitchell\mitchda01,4603320
Bryn Forbes\forbebr01,4500000
Jeff Green\greenje02,4500000
Ish Smith\smithis01,4500000
Jalen Smith\smithja04,4458000
Lonnie Walker\walkelo01,4447896
